fact_finance_id,date_key,company_key,fin_type_key,metric_key,value
607,20151231,1,1,8,29016000000.0
608,20150930,1,1,8,28338000000.0
609,20150630,1,1,8,27008000000.0
610,20150331,1,1,8,25448000000.0
611,20141231,1,1,8,23883000000.0
612,20140930,1,1,8,20981000000.0
613,20140630,1,1,8,19486000000.0
614,20140331,1,1,8,17877000000.0
615,20131231,1,1,8,16524000000.0
616,20130930,1,1,8,14867000000.0
617,20130630,1,1,8,12912000000.0
618,20130331,1,1,8,12300000000.0
619,20121231,1,1,8,11854000000.0
620,20120930,1,1,8,11401000000.0
621,20120630,1,1,8,10909000000.0
622,20120331,1,1,8,9875000000.0
623,20111231,1,1,8,9603000000.0
624,20110930,1,1,8,9204000000.0
625,20110630,1,1,8,9003000000.0
626,20110331,1,1,8,8249000000.0
627,20101231,1,1,8,7759000000.0
628,20100930,1,1,8,5506000000.0
629,20100630,1,1,8,4920000000.0
630,20100331,1,1,8,4773000000.0
631,20091231,1,1,8,4844610000.0
632,20090930,1,1,8,4917491000.0
633,20090630,1,1,8,5005900000.0
634,20090331,1,1,8,5122105000.0
635,20081231,1,1,8,5233843000.0
636,20080930,1,1,8,5213167000.0
637,20080630,1,1,8,5137710000.0
638,20080331,1,1,8,4741724000.0
639,20071231,1,1,8,4039261000.0
640,20070930,1,1,8,3588814000.0
641,20070630,1,1,8,3219280000.0
642,20070331,1,1,8,2826717000.0
643,20061231,1,1,8,2395239000.0
644,20060930,1,1,8,2174314000.0
645,20060630,1,1,8,1799766000.0
646,20060331,1,1,8,1209681000.0
647,20051231,1,1,8,961749000.0
648,20050930,1,1,8,803078000.0
649,20250930,1,1,9,1823000000.0
650,20250630,1,1,9,1823000000.0
651,20250331,1,1,9,1823000000.0
652,20241231,1,1,9,1823000000.0
653,20240930,1,1,9,1823000000.0
654,20240630,1,1,9,1823000000.0
655,20240331,1,1,9,1823000000.0
656,20231231,1,1,9,1823000000.0
657,20230930,1,1,9,1833000000.0
658,20230630,1,1,9,1966000000.0
659,20230331,1,1,9,1968000000.0
660,20221231,1,1,9,2084000000.0
661,20220930,1,1,9,2192000000.0
662,20220630,1,1,9,1377000000.0
663,20220331,1,1,9,1313000000.0
664,20211231,1,1,9,1417000000.0
665,20210930,1,1,9,1549000000.0
666,20210630,1,1,9,1626000000.0
667,20210331,1,1,9,1823000000.0
668,20201231,1,1,9,1445000000.0
669,20200930,1,1,9,1520000000.0
670,20200630,1,1,9,1697000000.0
671,20200331,1,1,9,1840000000.0
672,20191231,1,1,9,1979000000.0
673,20190930,1,1,9,1747000000.0
674,20190630,1,1,9,1902000000.0
675,20190331,1,1,9,2063000000.0
676,20181231,1,1,9,2220000000.0
677,20180930,1,1,9,2448000000.0
678,20180630,1,1,9,2662000000.0
